ppu;terminal;unidad;empresa;interno;tipo_bus;tipo_flota;es_soporte;es_auxiliar
SHCY11;EL RETIRO;U8;US1;1002;A2;FOB;0;0
SHCY32;EL RETIRO;U8;US1;1003;A2;FOB;0;0
SHCY33;EL RETIRO;U8;US1;1004;A2;FOB;0;0
SHCY34;EL RETIRO;U8;US1;1005;A2;FOB;0;0
SHCY39;EL RETIRO;U8;US1;1008;A2;FR;0;0
SHCY40;EL RETIRO;U8;US1;1009;A2;FR;0;0
SHCY46;EL RETIRO;U8;US1;1010;A2;FOB;0;0
SHCY47;EL RETIRO;U8;US1;1011;A2;FOB;0;0
SHCY49;EL RETIRO;U8;US1;1012;A2;FOB;0;0
SHCY50;EL RETIRO;U8;US1;1013;A2;FOB;0;0
SHCY55;EL RETIRO;U8;US1;1015;A2;FOB;0;0
LXDH97;EL RETIRO;U8;US1;2055;B2;FOB;0;0
LXDJ16;EL RETIRO;U8;US1;2064;B2;FOB;0;0
LXDJ22;EL RETIRO;U8;US1;2070;B2;FOB;0;0
SHXF30;EL RETIRO;U8;US1;4035;C2;FOB;0;0
SHXG17;EL RETIRO;U8;US1;4036;C2;FOB;0;0
SHXG31;EL RETIRO;U8;US1;4038;C2;FOB;0;0
SHXG34;EL RETIRO;U8;US1;4040;C2;FOB;0;0
SJPC36;EL RETIRO;U8;US1;4043;C2;FR;0;0
SJPC37;EL RETIRO;U8;US1;4044;C2;FOB;0;0
SJPC41;EL RETIRO;U8;US1;4046;C2;FOB;0;0
SJPC45;EL RETIRO;U8;US1;4048;C2;FOB;0;0
SJPC48;EL RETIRO;U8;US1;4049;C2;FOB;0;0
SJPC49;EL RETIRO;U8;US1;4050;C2;FOB;0;0
SJPC52;EL RETIRO;U8;US1;4052;C2;FOB;0;0
SJPD89;EL RETIRO;U8;US1;4057;C2;FOB;0;0
SJPD90;EL RETIRO;U8;US1;4058;C2;FOB;0;0
SJPD91;EL RETIRO;U8;US1;4059;C2;FOB;0;0
SJPD93;EL RETIRO;U8;US1;4061;C2;FOB;0;0
SJPD95;EL RETIRO;U8;US1;4063;C2;FOB;0;0
SJPD96;EL RETIRO;U8;US1;4064;C2;FOB;0;0
SJPC68;EL RETIRO;U8;US1;4067;C2;FOB;0;0
SJPF87;EL RETIRO;U8;US1;4069;C2;FOB;0;0
LXDH84;EL RETIRO;U8;US1;2042;B2;FOB;0;0
LXDH85;EL RETIRO;U8;US1;2043;B2;FOB;0;0
LXDH98;EL RETIRO;U8;US1;2056;B2;FOB;0;0
LXDH86;EL RETIRO;U8;US1;2044;B2;FOB;0;0
LXDH87;EL RETIRO;U8;US1;2045;B2;FOB;0;0
LXDH89;EL RETIRO;U8;US1;2047;B2;FOB;0;0
LXDH90;EL RETIRO;U8;US1;2048;B2;FOB;0;0
LXDH91;EL RETIRO;U8;US1;2049;B2;FOB;0;0
LXDH92;EL RETIRO;U8;US1;2050;B2;FOB;0;0
LXDH93;EL RETIRO;U8;US1;2051;B2;FOB;0;0
LXDH94;EL RETIRO;U8;US1;2052;B2;FOB;0;0
LXDH95;EL RETIRO;U8;US1;2053;B2;FOB;0;0
LXDH96;EL RETIRO;U8;US1;2054;B2;FOB;0;0
LXDJ10;EL RETIRO;U8;US1;2058;B2;FOB;0;0
LXDJ11;EL RETIRO;U8;US1;2059;B2;FOB;0;0
LXDJ21;EL RETIRO;U8;US1;2069;B2;FOB;0;0
LXDJ12;EL RETIRO;U8;US1;2060;B2;FOB;0;0
LXDJ25;EL RETIRO;U8;US1;2073;B2;FOB;0;0
LXDJ24;EL RETIRO;U8;US1;2072;B2;FOB;0;0
LXDH99;EL RETIRO;U8;US1;2057;B2;FOB;0;0
LXDJ13;EL RETIRO;U8;US1;2061;B2;FOB;0;0
LXDJ14;EL RETIRO;U8;US1;2062;B2;FOB;0;0
LXDJ15;EL RETIRO;U8;US1;2063;B2;FOB;0;0
LXDJ19;EL RETIRO;U8;US1;2067;B2;FOB;0;0
LXDJ20;EL RETIRO;U8;US1;2068;B2;FOB;0;0
LXDH88;SANTA MARGARITA;U8;US1;2046;B2;FOB;0;0
LXDJ28;SANTA MARGARITA;U8;US1;2076;B2;FOB;0;0
LXDJ30;SANTA MARGARITA;U8;US1;2078;B2;FOB;0;0
LXDJ17;SANTA MARGARITA;U8;US1;2065;B2;FOB;0;0
LXDJ18;SANTA MARGARITA;U8;US1;2066;B2;FOB;0;0
LXDJ26;SANTA MARGARITA;U8;US1;2074;B2;FOB;0;0
LXDJ27;SANTA MARGARITA;U8;US1;2075;B2;FOB;0;0
LXDJ29;SANTA MARGARITA;U8;US1;2077;B2;FOB;0;0
LXDJ31;SANTA MARGARITA;U8;US1;2079;B2;FOB;0;0
SHCY17;SANTA MARGARITA;U8;US1;4027;C2;FOB;0;0
SHCY18;SANTA MARGARITA;U8;US1;4025;C2;FOB;0;0
SHXC20;SANTA MARGARITA;U8;US1;4026;C2;FOB;0;0
SHXD76;SANTA MARGARITA;U8;US1;4028;C2;FOB;0;0
SHXD78;SANTA MARGARITA;U8;US1;4029;C2;FOB;0;0
SHXF26;SANTA MARGARITA;U8;US1;4032;C2;FOB;0;0
SHXF27;SANTA MARGARITA;U8;US1;4033;C2;FOB;0;0
SHXF28;SANTA MARGARITA;U8;US1;4034;C2;FOB;0;0
SHXG32;SANTA MARGARITA;U8;US1;4039;C2;FOB;0;0
SJPC38;SANTA MARGARITA;U8;US1;4045;C2;FOB;0;0
SHXF24;SANTA MARGARITA;U8;US1;4030;C2;FOB;0;0
SHXG30;SANTA MARGARITA;U8;US1;4037;C2;FOB;0;0
SJPC44;SANTA MARGARITA;U8;US1;4047;C2;FOB;0;0
SJPC56;SANTA MARGARITA;U8;US1;4053;C2;FOB;0;0
SJPC66;SANTA MARGARITA;U8;US1;4054;C2;FOB;0;0
SJPC67;SANTA MARGARITA;U8;US1;4055;C2;FOB;0;0
SJPD92;SANTA MARGARITA;U8;US1;4060;C2;FOB;0;0
SJPD94;SANTA MARGARITA;U8;US1;4062;C2;FOB;0;0
SJPD99;SANTA MARGARITA;U8;US1;4065;C2;FOB;0;0
SHCX53;CONDELL;U8;US1;1000;A2;FOB;0;0
SHCY10;CONDELL;U8;US1;1001;A2;FOB;0;0
SHXF83;CONDELL;U8;US1;1018;A2;FOB;0;0
SHXG99;CONDELL;U8;US1;1019;A2;FOB;0;0
SHCY62;CONDELL;U8;US1;1020;A2;FOB;0;0
SHCY45;CONDELL;U8;US1;1021;A2;FOB;0;0
SHCY44;CONDELL;U8;US1;1022;A2;FOB;0;0
SHCY43;CONDELL;U8;US1;1023;A2;FR;0;0
SHXD83;CONDELL;U8;US1;1028;A2;FOB;0;0
SHCY38;CONDELL;U8;US1;1029;A2;FOB;0;0
LDJP73;CONDELL;U8;US1;2084;B2;FOB;0;0
LDJV43;CONDELL;U8;US1;2085;B2;FOB;0;0
LDJV46;CONDELL;U8;US1;2088;B2;FOB;0;0
LDJV48;CONDELL;U8;US1;2089;B2;FOB;0;0
LDJV49;CONDELL;U8;US1;2090;B2;FOB;0;0
LDJV51;CONDELL;U8;US1;2092;B2;FOB;0;0
LDJV52;CONDELL;U8;US1;2093;B2;FOB;0;0
LDJW29;CONDELL;U8;US1;2094;B2;FOB;0;0
LDJW48;CONDELL;U8;US1;2111;B2;FOB;0;0
SJTD55;CONDELL;U8;US1;3000;BE;FR;0;0
SJTD56;CONDELL;U8;US1;3001;BE;FR;0;0
SJTD57;CONDELL;U8;US1;3002;BE;FR;0;0
SJTD61;CONDELL;U8;US1;3004;BE;FR;0;0
SJTD62;CONDELL;U8;US1;3005;BE;FR;0;0
SJTD63;CONDELL;U8;US1;3006;BE;FR;0;0
SJTD64;CONDELL;U8;US1;3007;BE;FR;0;0
SJTD65;CONDELL;U8;US1;3008;BE;FR;0;0
SJTD66;CONDELL;U8;US1;3009;BE;FR;0;0
SKHF49;CONDELL;U8;US1;3010;BE;FOB;0;0
SKHF84;CONDELL;U8;US1;3011;BE;FOB;0;0
SKHF87;CONDELL;U8;US1;3012;BE;FOB;0;0
SKHF91;CONDELL;U8;US1;3013;BE;FOB;0;0
SKHF92;CONDELL;U8;US1;3014;BE;FOB;0;0
SKHG14;CONDELL;U8;US1;3015;BE;FOB;0;0
SKHG17;CONDELL;U8;US1;3016;BE;FOB;0;0
SKHG20;CONDELL;U8;US1;3017;BE;FOB;0;0
SKHG33;CONDELL;U8;US1;3018;BE;FOB;0;0
SKHG37;CONDELL;U8;US1;3019;BE;FOB;0;0
SKHG39;CONDELL;U8;US1;3020;BE;FOB;0;0
SKHG40;CONDELL;U8;US1;3021;BE;FOB;0;0
SKHG42;CONDELL;U8;US1;3022;BE;FOB;0;0
SKHG47;CONDELL;U8;US1;3023;BE;FOB;0;0
SKHG55;CONDELL;U8;US1;3024;BE;FOB;0;0
SKHG57;CONDELL;U8;US1;3025;BE;FOB;0;0
SKHG59;CONDELL;U8;US1;3026;BE;FOB;0;0
SKHG62;CONDELL;U8;US1;3027;BE;FOB;0;0
SKHG65;CONDELL;U8;US1;3028;BE;FOB;0;0
SKHG69;CONDELL;U8;US1;3029;BE;FOB;0;0
SKHG70;CONDELL;U8;US1;3030;BE;FOB;0;0
SKHG73;CONDELL;U8;US1;3031;BE;FOB;0;0
SKHG74;CONDELL;U8;US1;3032;BE;FOB;0;0
SKHG79;CONDELL;U8;US1;3033;BE;FOB;0;0
SKHG80;CONDELL;U8;US1;3034;BE;FOB;0;0
SKHG82;CONDELL;U8;US1;3035;BE;FOB;0;0
SKHG85;CONDELL;U8;US1;3036;BE;FOB;0;0
